Result;Type;Category;Position X;Position Y
15;1;1;3.768551;6.330441
15;0;0;6.592844;0.7813015
15;0;0;1.427893;1.960141
15;0;0;1.173953;1.531315
15;0;1;0.9530395;0.7978163
15;0;1;1.28657;0.5984002
15;0;0;7.411097;1.209889
15;0;2;3.887928;1.249877
15;0;0;2.532023;2.343684
16;1;2;7.64817;8.426102
16;1;2;3.017041;7.962384
16;1;2;8.33997;6.782207
16;1;2;1.342452;7.709871
16;0;1;8.522763;0.9761816
16;0;1;6.099494;0.7851106
16;0;1;8.139894;1.137421
16;0;1;6.810429;1.473521
16;0;1;3.031854;1.036285
16;0;2;2.452648;1.034322
16;0;0;1.90316;1.219748
17;1;2;7.223662;7.690538
17;1;1;3.351772;7.797804
17;1;2;5.000703;7.927295
17;1;2;1.845415;8.33168
17;0;1;6.057958;1.021336
17;0;1;3.930463;1.059693
17;0;0;6.102506;2.163291
17;0;2;6.945444;1.214869
17;0;2;7.529621;2.361188
17;0;1;4.490528;1.270062
17;0;0;2.661024;2.409735
18;1;1;5.324189;7.551023
18;1;1;7.196436;8.153646
18;1;2;1.806767;6.797136
18;1;2;4.180278;6.534842
18;1;1;6.04092;6.405494
18;0;0;7.854437;1.684631
18;0;1;6.010114;0.8633876
18;0;2;8.196939;0.8345625
18;0;2;7.544829;1.893112
18;0;1;7.07606;0.5189464
18;0;0;4.677105;0.4448747
18;0;0;4.451051;2.018309
19;1;2;2.049586;9.193949
19;1;2;8.362335;7.413126
19;1;2;6.154403;7.492845
19;1;1;6.964292;6.408925
19;0;1;0.7944704;2.050561
19;0;0;7.017488;2.514274
19;0;2;0.9260047;0.7492955
19;0;0;3.686747;1.455437
19;0;1;1.511895;2.400305
19;0;1;8.341804;1.480396
19;0;2;3.199847;0.5155549
20;1;1;6.854481;7.448647
20;1;1;4.306897;7.998926
20;1;2;8.418661;7.115097
20;1;2;1.94523;6.860539
20;1;1;5.908109;6.420355
20;0;0;8.271441;0.5361292
20;0;1;4.355926;0.5022863
20;0;0;1.461612;1.361767
20;0;1;3.753341;1.911699
20;0;2;7.669352;1.699846
20;0;2;3.261204;1.985163
20;0;0;8.325527;1.072614
21;1;1;8.34426;7.878841
21;1;1;2.093888;8.180172
21;1;1;3.988082;7.330335
21;1;2;6.532496;7.210408
21;1;1;3.444476;6.474981
21;0;1;4.352203;1.755276
21;0;2;1.059759;1.139114
21;0;2;2.68923;2.300636
21;0;1;4.053539;0.9495313
21;0;0;3.121083;2.014728
21;0;0;6.447753;1.704939
21;0;1;8.309567;0.6609284
22;1;1;1.910571;7.413932
22;1;1;8.310353;7.743258
22;1;1;6.533243;7.095748
22;1;2;8.20532;7.173136
22;1;1;1.294779;6.375965
22;0;1;2.600349;1.887124
22;0;0;5.435227;0.464309
22;0;2;5.621558;1.029688
22;0;1;8.305176;2.160038
22;0;0;2.954723;1.599124
22;0;0;2.94311;0.7251892
22;0;0;8.152764;1.724615
22;0;0;3.780591;0.9227469
23;1;2;1.969496;8.243748
23;1;2;7.089424;7.813897
23;1;2;5.142233;6.627335
23;1;1;3.320081;6.688878
23;0;1;1.759408;2.394045
23;0;2;4.201716;0.7368128
23;0;2;5.204154;2.090958
23;0;0;7.230341;1.301094
23;0;2;2.451444;1.269719
23;0;0;7.311665;2.288206
24;1;1;6.650126;8.124728
24;1;2;2.673797;7.093715
24;1;1;5.79439;6.695227
24;1;1;8.186285;6.542285
24;1;2;1.339654;7.489793
24;0;1;5.633786;2.482345
24;0;0;4.974848;2.212119
24;0;0;0.9797107;2.380625
24;0;2;5.843284;1.353038
24;0;0;5.112728;1.429348
24;0;2;5.298265;2.185822
24;0;0;2.700212;1.944931
25;1;1;3.171461;7.065913
25;1;2;6.318336;7.612158
25;1;2;1.256003;8.503538
25;1;2;8.280234;9.046416
25;0;2;8.532197;2.326469
25;0;1;5.718087;2.056597
25;0;2;0.7603027;0.6002921
25;0;0;3.006907;2.203945
25;0;2;6.251918;2.41961
25;0;1;4.019097;0.7088068
26;1;2;5.765996;6.921354
26;1;1;2.721567;7.686652
26;1;1;7.144856;8.827432
26;1;2;8.103092;8.980865
26;1;1;7.677651;6.399763
26;0;2;5.092681;2.263006
26;0;0;2.717289;0.771004
26;0;0;2.255939;1.151119
26;0;0;5.147571;0.9175364
26;0;0;7.944394;0.8221611
26;0;1;3.115248;1.379535
26;0;0;3.382879;1.320065
26;0;1;8.335142;0.775641
27;1;1;5.849766;7.636606
27;1;2;2.72779;8.166916
27;1;1;6.743777;8.598426
27;1;2;5.887955;7.155537
27;1;1;2.819106;6.399239
27;0;1;2.950706;1.424544
27;0;1;6.15709;1.800207
27;0;1;8.52949;1.654113
27;0;2;4.522122;2.1649
27;0;1;5.639718;1.981975
27;0;1;3.896039;0.8671452
27;0;1;8.28722;2.511223
28;1;1;6.458538;8.04213
28;1;2;5.432859;7.131083
28;1;1;1.535254;8.690212
28;1;1;8.085562;7.939519
28;1;1;2.814771;6.80604
28;0;2;8.057256;1.149109
28;0;0;2.269185;0.7314434
28;0;1;4.607242;2.308525
28;0;2;1.439036;2.410396
28;0;1;5.462619;1.700679
28;0;2;2.949497;1.18732
29;1;1;6.860587;6.595109
29;1;2;1.242296;6.686105
29;1;1;3.044407;7.885112
29;1;2;5.241055;6.546789
29;1;1;7.528809;9.021353
29;0;2;7.585138;2.514805
29;0;2;7.486921;1.325621
29;0;1;3.380327;1.888736
29;0;1;5.470806;0.6627412
29;0;1;6.947943;2.393561
29;0;0;6.847726;0.5574735
29;0;0;7.584002;0.5467427
30;1;1;5.15475;6.892291
30;1;1;1.006333;7.932404
30;1;2;2.472529;9.053029
30;1;2;7.73146;7.180421
30;1;1;1.247171;6.671729
30;0;1;8.094762;2.465363
30;0;1;5.775101;1.648845
30;0;1;4.06659;1.020568
30;0;1;6.586455;1.074778
30;0;2;8.489875;1.622943
30;0;1;8.351183;1.028026
30;0;0;7.767171;0.9965204
31;1;2;1.434116;8.867587
31;1;1;8.276736;7.484895
31;1;2;7.186891;6.519442
31;1;2;1.078359;6.460607
31;0;2;1.152053;1.208068
31;0;1;7.467795;1.77968
31;0;0;3.879784;0.6736698
31;0;0;5.584065;1.632816
31;0;0;1.185038;2.441856
31;0;1;1.878547;1.283172
31;0;0;2.318227;1.927502
31;0;1;3.816175;1.051395
32;1;1;3.101785;7.760202
32;1;1;8.160462;6.874949
32;1;2;4.550316;7.791044
32;1;1;1.52233;7.520741
32;1;2;6.367452;7.385094
32;0;0;8.397112;1.173619
32;0;0;4.674975;1.875755
32;0;1;6.32958;1.802096
32;0;1;6.68774;0.8411904
32;0;1;2.839849;1.851984
32;0;0;1.412328;2.099998
32;0;2;3.197547;1.910461
32;0;0;0.7841726;0.9640333
33;1;1;2.851527;8.973572
33;1;1;1.469133;6.468462
33;1;1;6.597491;9.28086
33;1;2;5.818981;7.567213
33;1;2;7.812834;8.279589
33;0;1;4.872666;1.08423
33;0;0;3.894009;1.359456
33;0;2;3.309012;1.622641
33;0;2;3.654894;0.6459799
33;0;2;5.743535;2.053889
33;0;1;1.937151;1.738955
34;1;1;7.356664;7.577793
34;1;2;6.990162;6.671138
34;1;1;1.099423;7.931937
34;1;1;2.005203;6.538654
34;1;2;3.71743;6.423563
34;0;1;2.144758;1.887822
34;0;0;8.377567;1.39866
34;0;1;4.459553;1.74142
34;0;0;1.658175;1.49291
34;0;2;8.303355;0.6857529
34;0;0;1.21698;2.454889
34;0;1;4.876153;0.8381572
34;0;0;6.561537;1.93304
35;1;2;1.014414;6.385963
35;1;2;7.462861;6.410989
35;1;1;1.742797;8.615647
35;1;2;2.810143;6.971141
35;0;1;3.960258;1.807081
35;0;2;5.339382;0.5055982
35;0;0;5.246675;2.083413
35;0;2;5.90171;1.471276
35;0;1;1.284939;1.531762
35;0;1;4.366716;1.445965
35;0;0;1.972302;1.648486
36;1;2;6.68622;7.757056
36;1;1;8.097176;7.046342
36;1;2;2.388361;6.312478
36;1;2;1.047489;7.700686
36;0;2;6.774733;1.506965
36;0;0;1.77132;1.65331
36;0;2;7.664359;1.932586
36;0;0;2.439877;1.635832
36;0;0;2.963009;1.75795
36;0;1;5.112678;1.464517
36;0;0;4.014338;2.213616
